application_number,parent_application_number,parent_filing_date,continuation_type
09555989,PCT/US98/21306,1998-10-08,NST
09581240,PCT/NZ98/00194,1998-12-24,NST
09463449,PCT/EP98/04390,1998-07-15,NST
09581320,PCT/JP98/05606,1998-12-11,NST
09581537,PCT/FR99/00021,1999-01-08,NST
09463653,PCT/FR98/01702,1998-07-30,NST
09463574,PCT/IT99/00066,1999-03-22,NST
09463353,PCT/GB98/01970,1998-07-21,NST
09463153,PCT/IB98/01022,1998-07-02,NST
09462734,PCT/DE98/02010,1998-07-13,NST
09462714,PCT/US98/00634,1998-01-13,NST
09463090,PCT/CN98/00127,1998-07-16,NST
09463088,PCT/CN98/00126,1998-07-16,NST
09582564,PCT/GB99/00094,1999-01-26,NST
09462449,PCT/US98/15139,1998-07-22,NST
09581454,PCT/US99/23653,1999-10-14,NST
09581454,09172200,1998-10-14,CIP
09587552,09499198,2000-02-07,CIP
09587552,60150040,1999-08-20,PRO
09581366,PCT/DE98/03763,1998-12-14,NST
09341500,PCT/US97/24236,1997-12-20,NST
09445900,PCT/FR98/01233,1998-06-12,NST
09600235,PCT/GB99/00344,1999-02-19,NST
09600345,PCT/ES99/00363,1999-11-11,NST
09600486,PCT/SE98/00711,1998-04-20,NST
09600472,PCT/EP98/08260,1998-12-16,NST
09462084,PCT/FR99/01196,1999-05-20,NST
09600439,PCT/US98/05484,1998-03-20,NST
09600610,PCT/US99/00490,1999-01-21,NST
09600227,PCT/RU98/00005,1998-01-13,NST
09600818,PCT/NZ99/00005,1999-01-20,NST
09600924,PCT/US99/01324,1999-01-22,NST
09600157,PCT/FR99/00203,1999-02-01,NST
09600051,PCT/EP99/00174,1999-01-14,NST
09582574,PCT/GB98/03799,1998-12-24,NST
09582397,PCT/JP99/05916,1999-10-26,NST
09600756,PCT/FR99/00104,1999-01-20,NST
09600310,PCT/SG98/00004,1998-01-16,NST
09582931,PCT/AU99/00951,1999-11-02,NST
09600234,PCT/GB99/00343,1999-02-19,NST
09601436,PCT/EP99/00623,1999-02-01,NST
09601706,PCT/GB99/00348,1999-02-02,NST
09601355,PCT/US99/02808,1999-02-09,NST
09622304,PCT/US99/24596,1999-10-21,NST
09622380,PCT/IB99/00228,1999-02-10,NST
09622689,PCT/EP99/00868,1999-02-10,NST
09622746,PCT/SE00/00714,2000-04-14,NST
09582688,PCT/FR98/02909,1998-12-29,NST
09622770,PCT/GB99/00544,1999-02-23,NST
09613394,09071507,1998-05-01,CIP
09622991,PCT/US99/04127,1999-02-25,NST
09622938,PCT/AT99/00049,1999-02-25,NST
09582500,PCT/US98/09440,1998-05-11,NST
09582446,PCT/BR99/00088,1999-10-26,NST
09582161,PCT/AU98/01042,1998-12-18,NST
09596850,09283843,1999-03-31,REI
09596850,08072817,1993-06-07,CIP
09623090,PCT/GB99/00538,1999-02-22,NST
09623491,PCT/GR00/00002,2000-01-13,NST
09646242,PCT/IB98/00178,2000-08-31,NST
09582257,PCT/US98/27381,1998-12-24,NST
09581965,PCT/SE00/00808,2000-04-28,NST
09623765,PCT/NL99/00117,1999-03-04,NST
09581305,PCT/EP98/08119,1998-12-04,NST
09581939,PCT/GB98/03873,1998-12-22,NST
09581123,PCT/FR98/01039,1997-05-28,NST
09623769,PCT/RU97/00424,1997-12-26,NST
09623795,PCT/US99/05289,1999-03-11,NST
